,currency_marketcap,currency_name,currency_price,currency_supply,link,time
0,1.71731E+11,Bitcoin,9437.72,18196187 BTC,/currencies/bitcoin/,2.02002E+13
1,20950063044,Ethereum,191.26,109536658 ETH,/currencies/ethereum/,2.02002E+13
2,11082289632,XRP,0.253683,43685558183 XRP,/currencies/xrp/,2.02002E+13
3,6978364323,Bitcoin Cash,382.23,18257188 BCH,/currencies/bitcoin-cash/,2.02002E+13
4,5120124331,Bitcoin SV,280.49,18254465 BSV,/currencies/bitcoin-sv/,2.02002E+13
5,4643006477,Tether,1,4642367414 USDT,/currencies/tether/,2.02002E+13
6,4576150033,Litecoin,71.51,63993422 LTC,/currencies/litecoin/,2.02002E+13
7,4057853527,EOS,4.27,951343193 EOS,/currencies/eos/,2.02002E+13
8,2906709491,Binance Coin,18.69,155536713 BNB,/currencies/binance-coin/,2.02002E+13
9,1481702036,Cardano,0.057149,25927070538 ADA,/currencies/cardano/,2.02002E+13
10,1355171053,Tezos,1.95,694191974 XTZ,/currencies/tezos/,2.02002E+13
11,1340578956,Ethereum Classic,11.53,116313299 ETC,/currencies/ethereum-classic/,2.02002E+13
12,1308906171,Stellar,0.065246,20061035513 XLM,/currencies/stellar/,2.02002E+13
13,1305639197,Monero,74.92,17426949 XMR,/currencies/monero/,2.02002E+13
14,1304725758,TRON,0.019566,66682072191 TRX,/currencies/tron/,2.02002E+13
15,1085552213,Dash,116.65,9305851 DASH,/currencies/dash/,2.02002E+13
16,1005007364,Chainlink,2.87,350000000 LINK,/currencies/chainlink/,2.02002E+13
17,887397648,UNUS SED LEO,0.887843,999498893 LEO,/currencies/unus-sed-leo/,2.02002E+13
18,880044586,IOTA,0.316616,2779530283 MIOTA,/currencies/iota/,2.02002E+13
19,865850155,Neo,12.27,70538831 NEO,/currencies/neo/,2.02002E+13
20,844417537,Cosmos,4.43,190688439 ATOM,/currencies/cosmos/,2.02002E+13
21,828941205,Huobi Token,3.51,236468066 HT,/currencies/huobi-token/,2.02002E+13
22,735602239,Crypto.com Coin,0.054814,13420091324 CRO,/currencies/crypto-com-coin/,2.02002E+13
23,715885546,HedgeTrade,2.48,288208798 HEDG,/currencies/hedgetrade/,2.02002E+13
24,593025989,Zcash,67.36,8803281 ZEC,/currencies/zcash/,2.02002E+13
25,560089752,Maker,566.69,988355 MKR,/currencies/maker/,2.02002E+13
26,508645789,Ontology,0.798062,637351170 ONT,/currencies/ontology/,2.02002E+13
27,447762407,USD Coin,1.03,433526564 USDC,/currencies/usd-coin/,2.02002E+13
28,434902786,NEM,0.048323,8999999999 XEM,/currencies/nem/,2.02002E+13
29,350930096,VeChain,0.006328,55454734800 VET,/currencies/vechain/,2.02002E+13
30,321994972,Basic Attention Token,0.226233,1423287364 BAT,/currencies/basic-attention-token/,2.02002E+13
31,307043112,Dogecoin,0.002493,123157498127 DOGE,/currencies/dogecoin/,2.02002E+13
32,227456477,FTX Token,2.35,96888230 FTT,/currencies/ftx-token/,2.02002E+13
33,226371785,Paxos Standard,1,226306939 PAX,/currencies/paxos-standard/,2.02002E+13
34,222797918,Qtum,2.31,96355092 QTUM,/currencies/qtum/,2.02002E+13
35,207159135,Decred,19.2,10786831 DCR,/currencies/decred/,2.02002E+13
36,195328584,Bitcoin Gold,11.15,17513924 BTG,/currencies/bitcoin-gold/,2.02002E+13
37,193245453,Synthetix Network Token,1.19,162251159 SNX,/currencies/synthetix-network-token/,2.02002E+13
38,176150047,ICON,0.339236,519255062 ICX,/currencies/icon/,2.02002E+13
39,159534960,Augur,14.5,11000000 REP,/currencies/augur/,2.02002E+13
40,154702607,Ravencoin,0.028508,5426715000 RVN,/currencies/ravencoin/,2.02002E+13
41,150483127,0x,0.240404,625958624 ZRX,/currencies/0x/,2.02002E+13
42,141658337,OmiseGO,1.01,140245398 OMG,/currencies/omisego/,2.02002E+13
43,139803017,Algorand,0.25613,545827922 ALGO,/currencies/algorand/,2.02002E+13
